,Unnamed: 0,openalex_id,doi,openalex_title,type,publication_date,openalex_publication_year,openalex_volume,issue,first_page,last_page,authors,keywords,abstract,openalex_source_title,source_issn,source_type,cited_by_count,referenced_works,openalex_name_1st_author,uuid,matched,score
1489,1503,https://openalex.org/W579876764,,"atomic layer deposition: principles, characteristics, and nanotechnology applications",book,2013-05-17,2013,,,,,"Tommi Kääriäinen, David Cameron, Marja‐Leena Kääriäinen, Arthur Sherman","Deposition, Layer by layer",,,,,45,[],Kääriäinen,,False,
1490,1504,https://openalex.org/W2156704408,,atomic layer deposition and photocatalytic properties of titanium dioxide thin films,article,2010-06-16,2010,,,,,Viljami Pore,"Titanium Dioxide, Deposition",,,,,14,"['https://openalex.org/W1608023373', 'https://openalex.org/W1999023041', 'https://openalex.org/W2017352199', 'https://openalex.org/W2026429692', 'https://openalex.org/W2042544461', 'https://openalex.org/W2123490371', 'https://openalex.org/W2144710382', 'https://openalex.org/W2152218320', 'https://openalex.org/W2163995261', 'https://openalex.org/W2236280763', 'https://openalex.org/W2319965893', 'https://openalex.org/W2337930112', 'https://openalex.org/W3016972814', 'https://openalex.org/W845360378']",Pore,,False,
1491,1507,https://openalex.org/W1150031643,,atomic layer deposition of noble metal oxide and noble metal thin films,article,2013-05-17,2013,,,,,Jani Hämäläinen,"Noble metal, Deposition","Atomic layer deposition (ALD) is a chemical gas phase deposition method to grow thin films which are highly uniform and conformal over large and complex substrate areas. Film growth in ALD is precise, remarkably repeatable, and combined with unparalleled control of the film thickness. These inherent properties make ALD an attractive method to deposit thin films for advanced technological applications such as microelectronics and nanotechnology. One material group in ALD which has matured in ten years and proven to be of wide technological importance is noble metals. The purpose of this study was to investigate noble metal oxide film growth by ALD. The ALD of noble metal oxides has been very limited compared to the noble metal growth. Another aim was to examine noble metal film deposition at temperatures lower than required in the earlier ALD noble metal processes. In addition, the selection of noble metals that can be grown by ALD was expanded with osmium. The results of the study showed that oxides of iridium, rhodium, platinum, and palladium can be deposited from the common noble metal precursors using ozone as the reactant at temperatures below 200 C. The development of ozone-based ALD noble metal oxide processes led further on to the low temperature deposition of noble metals by adding a reductive molecular hydrogen step after every oxidative ozone step. The noble metal deposition via noble metal oxide growth was achieved at lower temperatures than required with the common oxygen-based ALD noble metal processes. Film growth rates, resistivities, purities, and surface roughnesses resulting from the studied noble metal oxide and noble metal processes were reasonable. The processes showed some shortcomings but offer an alternative thermal ALD pathway to deposit noble metals and noble metal oxides compared to the oxygen-based ALD processes.",,,,7,"['https://openalex.org/W1880191198', 'https://openalex.org/W1981965967', 'https://openalex.org/W1993283300', 'https://openalex.org/W1996783389', 'https://openalex.org/W2031306112', 'https://openalex.org/W2032306276', 'https://openalex.org/W2060883520', 'https://openalex.org/W2088569164', 'https://openalex.org/W2089627632', 'https://openalex.org/W2119164620', 'https://openalex.org/W2312407956', 'https://openalex.org/W2498336437']",Hämäläinen,,False,
1492,1511,https://openalex.org/W2106499040,,selective in-situ atomic layer deposition on structures created with ebid,article,2011-01-01,2011,25,4,5,8,"Ajm Adrie Mackus, Wmm Erwin Kessels, Jjl Hans Mulders",Deposition,"High purity platinum structures have been grown with atomic layer deposition (ALD) on very thin seeds made with electron beam induced deposition (EBID). The ALD growth is selective towards the EBID seeds on the substrate. This approach basically combines the sub-10 nm patterning capability of EBID and the material quality of ALD, and thereby enables the fabrication of highquality nanostructures with a high lateral resolution. A dual supply line with local injectors can be used to realize ALD growth in the same tool that is used to create the platinum seed layer. Future developments may result in further optimization of the current process as well as in exploration of other material combinations for both the seed layer and the ALD process.",deleted journal,,journal,4,['https://openalex.org/W2481407830'],Mackus,,False,
1493,1512,https://openalex.org/W2313720756,,atomic layer deposition of tin monosulfi de thin films,article,2011-01-01,2011,,,,,"Prasert Sinsermsuksakul, Jaeyeong Heo, Wontae Noh, Adam S. Hock, Roy G. Gordon","Stoichiometry, Deposition, Electron Mobility","Thin fi lm solar cells made from earth-abundant, non-toxic materials are needed to replace the current technology that uses Cu(In,Ga)(S,Se) 2 and CdTe, which contain scarce and toxic elements. One promising candidate absorber material is tin monosulfi de (SnS). In this report, pure, stoichiometric, singlephase SnS fi lms were obtained by atomic layer deposition (ALD) using the reaction of bis( N , N′- diisopropylacetamidinato)tin(II) [Sn(MeC(N- i Pr) 2 ) 2 ] and hydrogen sulfi de (H 2 S) at low temperatures (100 to 200 ° C). The direct optical band gap of SnS is around 1.3 eV and strong optical absorption ( α > 10 4 cm − 1 ) is observed throughout the visible and near-infrared spectral regions. The fi lms are p-type semiconductors with carrier concentration on the order of 10 16 cm − 3 and hole mobility 0.82–15.3 cm 2 V − 1 s − 1 in the plane of the fi lms. The electrical properties are anisotropic, with three times higher mobility in the direction through the fi lm, compared to the in-plane direction.",,,,3,"['https://openalex.org/W2059600631', 'https://openalex.org/W2132905138']",Sinsermsuksakul,,False,
1494,1514,https://openalex.org/W3149760849,,passivation of ingaas/inalas/inp hemts using al2o3 atomic layer deposition,article,2011-01-01,2011,,,1,4,"Schleeh, Halonen, Nilsson, Zeng, Ramvall, Wadefalk, Zirath, Ölsson, Grahn","Passivation, Deposition",,international conference on indium phosphide and related materials,,conference,4,[],Schleeh,,False,
1495,1515,https://openalex.org/W1529466596,,new precursors and chemistry for the growth of transition metal films by atomic layer deposition,article,2012-01-01,2012,,,,,Thomas J. Knisley,Deposition,NEW PRECURSORS AND CHEMISTRY FOR THE GROWTH OF TRANSITION METAL FILMS BY ATOMIC LAYER DEPOSITION,,,,3,"['https://openalex.org/W1434536943', 'https://openalex.org/W1502853825', 'https://openalex.org/W1589595255', 'https://openalex.org/W1665709017', 'https://openalex.org/W2048537033', 'https://openalex.org/W2132905138', 'https://openalex.org/W2332503381', 'https://openalex.org/W3089485186']",Knisley,,False,
1496,1516,https://openalex.org/W2566733140,,atomic layer deposition of thermoelectric zno thin films,article,2013-01-01,2013,,,,,Tommi Tynell,Thermoelectric generator,"Thermoelectric energy harvesters hold great potential for reducing our dependence on conventional energy sources by making use of untapped heat sources and converting them into electricity. For the technology to be able to make a significant impact though, more efficient materials need to be developed. This is a huge challenge because of the interdependence of the physical properties that affect the performance of a thermoelectric material, and nanostructuring might be the only way to overcome this obstacle. This thesis presents research on the effect of inorganic dopants and inorganic-organic hybrid superlattice structures on the thermoelectric properties of ZnO thin films. Atomic layer deposition (ALD) was used to fabricate the thin films in this study due to the suitability of the technique for the deposition of precisely controlled nanostructures. 

Zinc oxide is one of the most promising thermoelectric oxide materials, especially when doped with for instance Al or Ga, but it is somewhat held back by the lack of a stable p-type ZnO material. The effects of aluminum and phosphorus doping on the thermoelectric properties of ALD-grown ZnO thin films were investigated in this work, and both were found to increase the carrier concentration of ZnO, with Al turning out to be the better dopant in terms of improving thermoelectric performance. An attempt was also made to induce p-type conductivity in ZnO through thermal treatment of the P-doped films, but a deterioration of the electrical properties of the films was observed instead. 

The fabrication of super lattice structures of organic layers within ZnO with a combination of the atomic and molecular layer deposition (MLD) techniques was successfully demonstrated for three different organic precursors: hydroquinone, 4-aminophenol and 4,4'-oxydianiline. All of the organic molecules were found to have an effect on the electrical and thermoelectric properties of ZnO, the magnitude of which varied noticeably between the different organic constituents despite their relatively similar structures. The observed effects from the introduction of the hybrid superlattice structures amounted to only small changes in the thermoelectric power factor of ZnO, and these changes were not cumulative with the effects of Al doping when hybrid superlattices were combined with Al doping. The net effect from the organic layers on the thermoelectric performance of ZnO is predicted to be greater than implied by the slight changes in power factor due to the expected decrease in thermal conductivity resulting from phonon inhibition by the organic layers.; Termosahkoisella energialouhinnalla on mahdollisuus vahentaa riippuvuuttamme perinteisista energialahteista kayttamalla hyvaksi hyodyntamattomia hukkalammon lahteita ja muuttamalla ne sahkoksi. Jotta teknologialla voisi olla merkittava vaikutus, taytyy kuitenkin kehittaa tehokkaampia termosahkoisia materiaaleja. Tama on valtava haaste, silla fysikaaliset ominaisuudet, jotka vaikuttavat materiaalin termosahkoiseen suorituskykyyn, eivat ole…",,,,2,[],Tynell,,False,
1497,1517,https://openalex.org/W71222699,,atomic layer deposition on fiber forming polymers and nonwoven fiber structures.,article,2010-03-22,2010,,,,,Joseph C. Spagnola,Deposition,,phdt,,repository,3,[],Spagnola,,False,
1498,1518,https://openalex.org/W2173489839,,comparison of zns-based buffer layers by chemical bath deposition and atomic layer deposition,article,2010-01-01,2010,1165,,147,152,"Charlotte Platzer‐Björkman, Alexander R. Uhl","Buffer (optical fiber), Deposition, Chemical bath deposition","In this work we compare ZnS-based buffer layers prepared by atomic layer deposition, ALD, and chemical bath deposition, CBD. Both material and device properties are compared. CBD buffer layers are amorphous with a Zn(OH,S) composition while ALD buffer layers used in devices are crystalline with a Zn(O,OH,S) composition. Devices with ALD buffer layers are stable while for CBD, large lightsoaking effects are seen. Stable devices with CBD buffer layers are obtained by including an ALD-(Zn,Mg)O layer on top of the CBD layer.",,,,2,[],Platzer‐Björkman,,False,
1499,1519,https://openalex.org/W2381807585,,research on atomic layer deposition of alumina thin film with plasma assisted,article,2012-01-01,2012,,,,,Qiang Chen,"Electron cyclotron resonance, Deposition","In order to achieve atomic layer deposition of alumina thin films at room temperature,taking trimethylaluminum(TMA) as the precursor and oxygen as the oxidant,respectively,we used an atomic layer deposition(PA-ALD) setup of homemade electron cyclotron resonance(ECR) assisted with plasma to deposit Al2O3 thin film on the single crystal silicon surface at room temperature.Through scanning electron microscope(SEM),atomic force microscope,high resolution transmission electron microscope,X-ray diffraction and X-ray photoelectric spectroscopy,the surface topography and composition of the as-deposited films were tested.It is found that the Al2O3 films are amorphous,and the atomic ratio of aluminum to oxygen is close to 2/3.The film surface is very smooth and the roughness is smaller than 0.4 nm.The cross-sectional images show that the film thickness is 80 nm with specially clear and smooth interface,better film quality,and the deposition rate is 0.27 nm in one cycle,which is much larger than the thermal ALD.",gao dianya jishu,['1003-6520'],journal,2,[],Chen,,False,
